1766 1049:0.348954995286,290:0.669845667618,2423:0.338909256585,2981:0.344872696395,1593:0.44242573605,
1767 2981:0.310141347482,3409:0.352922588253,203:0.406216889156,1196:0.55919727603,1105:0.408253878541,277:0.367250605697,
1768 1377:0.554275948359,645:0.35614238436,266:0.252413043867,858:0.250797235974,3173:0.479017067332,638:0.344934061652,2981:0.301483530502,
1769 2920:0.518352739522,2749:0.544699749712,3446:0.547570323376,2981:0.367123087058,
1770 1444:0.302569584877,3446:0.294193157866,3051:0.435790094908,205:0.386706727088,978:0.365159508606,214:0.399035145467,3132:0.219366623132,1725:0.376503257875,
1771 1024:0.287014526561,641:0.315135419632,483:0.249747679063,3491:0.244150291022,1390:0.306411116288,2579:0.313289311792,2421:0.284110705786,566:0.572845503037,1402:0.308901655018,
1772 585:0.264055948295,1811:0.572675536002,2105:0.431892431836,1150:0.449678868052,1135:0.462141785154,
1773 3491:0.225611247797,3289:0.365452920499,266:0.158938098819,3383:0.530621269603,2579:0.289500341199,213:0.249056673433,1910:0.303741609908,2105:0.330815697887,1241:0.259974396372,410:0.305939739641,
1774 1697:0.693593545848,2922:0.720366568601,
1775 2426:0.694180166719,277:0.294083196602,166:0.450609705638,3549:0.478100264374,
1776 2946:0.398835952993,1603:0.512019532717,1765:0.335611924767,3125:0.301689300507,858:0.221255491017,1118:0.463490889104,2757:0.333670924779,
1777 266:0.323554077203,1694:0.892972346196,943:0.312910766921,
1778 1152:0.465343516547,210:0.401967702305,2582:0.558422460204,2054:0.417820836463,942:0.3680590747,
1779 2757:0.858256643335,2797:0.513220746045,
1780 3457:0.490600970205,2387:0.525372296016,884:0.695193957549,
1781 2323:0.631071555054,987:0.562324242727,3500:0.357088377264,3469:0.397527394358,
1782 3491:0.280741011047,1766:0.512417617653,3407:0.374047911651,1588:0.39621792548,2398:0.311478373685,2749:0.350485780837,2782:0.376633940731,
1783 1540:0.427646693278,2814:0.594149324999,1655:0.681252438771,
1784 641:0.56130249687,2797:0.274502660057,1486:0.780761036828,
1785 2504:0.344966527483,996:0.594541394883,3270:0.726304773967,
1786 2099:0.42466899349,2597:0.521341091269,2014:0.504794093399,2677:0.541334125834,
1787 454:0.207037808057,2825:0.177283491223,3277:0.226879134852,942:0.212641971318,3118:0.226879134852,2808:0.509097573538,1497:0.509097573538,2811:0.509097573538,
1788 932:0.255073983589,1643:0.381621049942,914:0.611267687562,1720:0.521375446424,1593:0.318195321483,858:0.206334273771,
